id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Estado,Área de texto 1,Área de texto 2,Comentarios
1,Documento,,,,,,,,,Aprobado,Diagrama en blanco,,
2,Página,,,,,,,,,,Página 1,,
3,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,1,,
4,Decisión,Figuras de diagrama de flujo/contenedores,2,,,,,,,,2,,
5,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,4,,
6,Decisión,Figuras de diagrama de flujo/contenedores,2,,,,,,,,5,,
7,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,7,,
8,Decisión,Figuras de diagrama de flujo/contenedores,2,,,,,,,,8,,
9,Texto,Estándar,2,,,,,,,,"nombre 
edad",,
10,Texto,Estándar,2,,,,,,,,"Licencia
tipo cliente
permiso
zona
mes 
tiempo
vip",,
11,Texto,Estándar,2,,,,,,,,Modelo de veiculo,,
12,Proceso predefinido,Figuras de diagrama de flujo/contenedores,2,,,,,,,,10,,
13,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,11,,
14,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,12,,
15,Texto,Estándar,2,,,,,,,,print,,
16,Texto,Estándar,2,,,,,,,,pago realizado,,
17,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,6,,
18,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,9,,
19,Decisión,Figuras de diagrama de flujo/contenedores,2,,,,,,,,13,,
20,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,14,,
21,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,15,,
22,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,16,,
23,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,3,,
24,Texto,Estándar,2,,,,,,,,bloque de funciones,,
25,Texto,Estándar,2,,,,,,,,print,,
26,Texto,Estándar,2,,,,,,,,print,,
27,Texto,Estándar,2,,,,,,,,print,,
28,Texto,Estándar,2,,,,,,,,print,,
29,Texto,Estándar,2,,,,,,,,print,,
30,Texto,Estándar,2,,,,,,,,R1,,
31,Texto,Estándar,2,,,,,,,,R2,,
32,Texto,Estándar,2,,,,,,,,R3,,
33,Texto,Estándar,2,,,,,,,,R4,,
34,Texto,Estándar,2,,,,,,,,R5,,
35,Línea,,2,,,3,4,None,Arrow,,I,,
36,Línea,,2,,,5,6,None,Arrow,,IV,,
37,Línea,,2,,,23,22,None,Arrow,,VIII,VIII,
38,Línea,,2,,,6,17,None,Arrow,,V,,
39,Línea,,2,,,6,7,None,Arrow,,VI,,
40,Línea,,2,,,7,8,None,Arrow,,IX,,
41,Línea,,2,,,8,12,None,Arrow,,XI,,
42,Línea,,2,,,12,13,None,Arrow,,XIII,,
43,Línea,,2,,,13,14,None,Arrow,,XIV,,
44,Línea,,2,,,8,18,None,Arrow,,X,,
45,Línea,,2,,,18,37,None,Arrow,,XII,,
46,Línea,,2,,,17,37,None,Arrow,,VII,,
47,Línea,,2,,,14,19,None,Arrow,,XV,,
48,Línea,,2,,,19,20,None,Arrow,,XVII,,
49,Línea,,2,,,19,21,None,Arrow,,XVI,,
50,Línea,,2,,,20,22,None,Arrow,,,,
51,Línea,,2,,,21,,None,Arrow,,XVIII,,
52,Línea,,2,,,4,23,None,Arrow,,II,,
53,Línea,,2,,,4,5,None,Arrow,,III,,